name,Models,C.C,price,mileage,year,image
M-Benz,GLC200 Coupe,2.0L,178.8,9.2,2020,https://p2.8891.com.tw/2023/12/06/1701841165834924_440_330.jpg
M-Benz,C300 AMG,2.0L,96.8,15,2015,https://p1.8891.com.tw/2023/09/05/2/1693887859354927_440_330.jpg
M-Benz,A45 AMG,2.0L,108.9,11,2015,https://p1.8891.com.tw/2022/12/26/1672037867626963_440_330.jpg
M-Benz,GLC250,2.0L,139.8,12,2018,https://p1.8891.com.tw/2023/10/17/2/1697517824875725_440_330.jpg
M-Benz,GLA180,1.6L,79.8,11,2017,https://p2.8891.com.tw/2023/10/20/2/1697788293247102_440_330.jpg
M-Benz,ML350d,3.0L,86.8,12,2014,https://p1.8891.com.tw/2023/10/13/1697190968147207_440_330.jpg
M-Benz,E250,1.8L,52.8,10,2011,https://p2.8891.com.tw/2023/10/25/1698208723512076_440_330.jpg
M-Benz,GLB250,2.0L,225.8,1.3,2021,https://p1.8891.com.tw/2022/08/03/1659509738962005_440_330.jpg
M-Benz,C200,2.0L,79.8,10.5,2016,https://p2.8891.com.tw/2023/11/10/1699590478052930_440_330.jpg
M-Benz,C43 AMG,3.0L,265,6.2,2019,https://p2.8891.com.tw/2023/07/18/1689667371486822_440_330.jpg
M-Benz,A180,1.6L,75.8,10,2016,https://p1.8891.com.tw/2023/10/07/1696673035916333_440_330.jpg
M-Benz,E200,2.0L,108.8,9.3,2015,https://p1.8891.com.tw/2023/11/17/1700202332182281_440_330.jpg
M-Benz,CLA200,1.6L,87.8,6,2016,https://p2.8891.com.tw/2023/11/30/1701329613865328_440_330.jpg
M-Benz,CLA200,1.6L,105.8,9.5,2018,https://p2.8891.com.tw/2023/09/22/1695361496816124_440_330.jpg
M-Benz,A180,1.6L,73.8,5.9,2016,https://p2.8891.com.tw/2023/11/11/1699683715098136_440_330.jpg
M-Benz,C180,1.6L,109.8,10,2019,https://p1.8891.com.tw/2023/10/25/1698207643312901_440_330.jpg
M-Benz,AMG A34 4Matic,2.0L,228.8,5.5,2020,https://p2.8891.com.tw/2023/07/02/1688270631956982_440_330.jpg
M-Benz,E200,2.0L,125.8,11.3,2018,https://p1.8891.com.tw/2023/08/04/1691122809369597_440_330.jpg
M-Benz,GLC300,2.0L,189.8,6.1,2019,https://p1.8891.com.tw/2023/10/18/1697621045371581_440_330.jpg
M-Benz,E43 AMG,3.0L,198.8,7.7,2017,https://p1.8891.com.tw/2023/11/01/1698814097893145_440_330.jpg
M-Benz,GLA180,1.6L,117.8,5.8,2019,https://p1.8891.com.tw/2023/11/20/1700471237833655_440_330.jpg
M-Benz,CLA250,2.0L,193.8,3.1,2021,https://p2.8891.com.tw/2023/11/27/1701068281220046_440_330.jpg
M-Benz,C300 Estate,2.0L,188.8,7.6,2020,https://p1.8891.com.tw/2023/11/29/1701231700434973_440_330.jpg
M-Benz,GLC300,2.0L,189.8,7.6,2020,https://p1.8891.com.tw/2023/10/18/1697605911336743_440_330.jpg
M-Benz,CLA250,2.0L,238.8,200,2022,https://p2.8891.com.tw/2023/08/01/1690891332781804_440_330.jpg
M-Benz,A250,2.0L,79.8,4.8,2013,https://p1.8891.com.tw/2023/07/07/1688718194663811_440_330.jpg
M-Benz,GLC300,2.0L,258,199,2022,https://p1.8891.com.tw/2023/12/08/1702005600755075_440_330.jpg
M-Benz,E250,2.0L,149.8,7.54,2018,https://p2.8891.com.tw/2023/12/06/1701833262525164_440_330.jpg
M-Benz,E300,2.0L,238,1.6,2020,https://p1.8891.com.tw/2023/11/04/1699092659685535_440_330.jpg
M-Benz,GLC300 Coupe,2.0L,288,232,2022,https://p2.8891.com.tw/2023/10/04/1696406484142144_440_330.jpg
